"TABELA LANÇAMENTO - ADDAGIO LÍDICEsetembro/2023"
"",,,
"",,,Valor
"",,(m2),Unidade
U0101,01o andar,"137,43",1.109.606
U0102,01o andar,"137,43",1.125.234
U0103,01o andar,"134,67",1.133.265
U0104,01o andar,"134,67",1.133.265
U0201,02o andar,"137,43",1.125.234
U0202,02o andar,"137,43",1.140.862
U0203,02o andar,"134,67",1.171.551
U0204,02o andar,"134,67",1.171.551
U0301,03o andar,"137,43",1.133.048
U0303,03o andar,"134,67",1.171.551
U0304,03o andar,"134,67",1.171.551
U0402,04o andar,"137,43",1.148.676
U0403,04o andar,"134,67",1.194.522
U0404,04o andar,"134,67",1.194.522
U0504,05o andar,"134,67",1.194.522
U0601,06o andar,"137,43",1.148.676
U0701,07o andar,"137,43",1.148.676
U1301,13o andar,"137,43",1.156.490
U1303,13o andar,"134,67",1.194.522
U1403,14o andar,"134,67",1.194.522
U1404,14o andar,"134,67",1.194.522
U1503,15o andar,"134,67",1.217.494
U1504,15o andar,"134,67",1.217.494
U1601,16o andar,"137,43",1.172.119
U1604,16o andar,"134,67",1.217.494
U1704,17o andar,"134,67",1.217.494
"",,FLUXO DE PAGAMENTO,,,
"",,Mensais,Anuais,Única,Financiamento
"ATOset/23","3 parcelasout/23","23 parcelasjan/24","2 parcelasabr/24","1 parceladez/25",jan/26
41.610,41.610,7.719,33.288,33.288,665.763
42.196,42.196,7.828,33.757,33.757,675.140
42.497,42.497,7.884,33.998,33.998,679.959
42.497,42.497,7.884,33.998,33.998,679.959
42.196,42.196,7.828,33.757,33.757,675.140
42.782,42.782,7.936,34.226,34.226,684.517
43.933,43.933,8.150,35.147,35.147,702.930
43.933,43.933,8.150,35.147,35.147,702.930
42.489,42.489,7.882,33.991,33.991,679.829
43.933,43.933,8.150,35.147,35.147,702.930
43.933,43.933,8.150,35.147,35.147,702.930
43.075,43.075,7.991,34.460,34.460,689.206
44.795,44.795,8.310,35.836,35.836,716.713
44.795,44.795,8.310,35.836,35.836,716.713
44.795,44.795,8.310,35.836,35.836,716.713
43.075,43.075,7.991,34.460,34.460,689.206
43.075,43.075,7.991,34.460,34.460,689.206
43.368,43.368,8.045,34.695,34.695,693.894
44.795,44.795,8.310,35.836,35.836,716.713
44.795,44.795,8.310,35.836,35.836,716.713
44.795,44.795,8.310,35.836,35.836,716.713
45.656,45.656,8.470,36.525,36.525,730.496
45.656,45.656,8.470,36.525,36.525,730.496
43.954,43.954,8.154,35.164,35.164,703.271
45.656,45.656,8.470,36.525,36.525,730.496
45.656,45.656,8.470,36.525,36.525,730.496
"1. Valores expressos em R$2. Valores sujeitos à alteração sem aviso prévio3. Para maiores informações, entrar em contato com o gestor comercial responsável na Perplan4. Valores corrigidos mensalmente pelo índice INCC-DI5. Tabela de preços - 45170"
