ENTREGA 30 DE AGOSTO DE 2025,ÁREAS,1,22,4,1,1,SETEMBRO/2023,,,,,,
QTD,UNID,VAGA,LOCALIZAÇÃO,AP APTO,COMUM,TOTAL,FRAÇÃO,SINAL,MENSAL,SEMESTRAL,ÚNICA,HABITE-SE,TOTAL
1,101,122 / 123,TÉRREO,"196,07","128,47","324,54","0,01641","215.652,74","6.469,58","43.130,55","109.982,90","1.512.804,01","2.156.527,36"
2,102,120 / 121,TÉRREO,"196,07","128,47","324,54","0,01641","215.652,74","6.469,58","43.130,55","109.982,90","1.512.804,01","2.156.527,36"
3,103,30 / 31 / 32,SUBSOLO,"196,07","145,88","341,95","0,01743","216.500,97","6.495,03","43.300,19","110.415,50","1.518.754,33","2.165.009,72"
4,201,143 / 144,TERREO,"147,00","109,39","256,39","0,01348","145.759,78","4.372,79","29.151,96","74.337,49","1.022.504,90","1.457.597,79"
5,202,84 / 85,SUBSOLO,"147,00","111,79","258,79","0,01385","145.547,79","4.366,43","29.109,56","74.229,37","1.021.017,79","1.455.477,90"
6,203,82 / 83,SUBSOLO,"147,00","111,79","258,79","0,01385","144.911,82","4.347,35","28.982,36","73.905,03","1.016.556,60","1.449.118,24"
7,204,80 / 81,SUBSOLO,"147,00","111,79","258,79","0,01385","144.487,85","4.334,64","28.897,57","73.688,80","1.013.582,11","1.444.878,47"
8,301,78 / 79,SUBSOLO,"147,00","111,79","258,79","0,01385","146.819,72","4.404,59","29.363,94","74.878,06","1.029.940,40","1.468.197,22"
9,303,74 / 75,SUBSOLO,"147,00","111,79","258,79","0,01385","145.971,77","4.379,15","29.194,35","74.445,60","1.023.992,05","1.459.717,67"
10,403,66 / 67,SUBSOLO,"147,00","111,79","258,79","0,01385","146.819,72","4.404,59","29.363,94","74.878,06","1.029.940,40","1.468.197,22"
11,603,50 / 51,SUBSOLO,"147,00","111,79","258,79","0,01385","146.277,17","4.388,32","29.255,43","74.601,36","1.026.134,26","1.462.771,75"
12,803,45 / 46,SUBSOLO,"147,00","111,79","258,79","0,01385","152.543,41","4.576,30","30.508,68","77.797,14","1.070.092,18","1.525.434,15"
13,901,3 / 4,SUBSOLO,"147,00","111,79","258,79","0,01385","152.396,40","4.571,89","30.479,28","77.722,16","1.069.060,70","1.523.963,96"
14,903,86 / 87,TERREO,"147,00","109,39","256,39","0,01348","154.875,29","4.646,26","30.975,06","78.986,40","1.086.450,05","1.548.752,90"
15,1003,94 / 95,TERREO,"146,70","109,22","255,92","0,01346","155.763,07","4.672,89","31.152,61","79.439,17","1.092.678,03","1.557.630,69"
16,1101,98 / 99,TERREO,"147,00","109,39","256,39","0,01348","159.136,26","4.774,09","31.827,25","81.159,49","1.116.340,78","1.591.362,61"
17,1103,102 / 103,TERREO,"147,00","109,39","256,39","0,01348","158.076,32","4.742,29","31.615,26","80.618,92","1.108.905,32","1.580.763,18"
18,1201,106 / 107,TERREO,"147,00","109,39","256,39","0,01348","161.680,13","4.850,40","32.336,03","82.456,86","1.134.186,14","1.616.801,25"
19,1203,111 / 110,TERREO,"147,00","109,39","256,39","0,01348","160.832,17","4.824,97","32.166,43","82.024,41","1.128.237,62","1.608.321,71"
20,1301,114 / 115,TERREO,"147,00","109,39","256,39","0,01348","163.354,84","4.900,65","32.670,97","83.310,97","1.145.934,11","1.633.548,35"
21,1303,119 / 118,TERREO,"147,00","109,39","256,39","0,01348","162.506,88","4.875,21","32.501,38","82.878,51","1.139.985,63","1.625.068,81"
22,1401,127 / 126,TERREO,"147,00","109,39","256,39","0,01348","165.690,32","4.970,71","33.138,06","84.502,06","1.162.317,56","1.656.903,15"
23,1403,130 / 131,TERREO,"147,00","110,93","257,93","0,01354","165.008,35","4.950,25","33.001,67","84.154,26","1.157.533,53","1.650.083,47"
24,1501,139 / 140,TERREO,"147,00","110,93","257,93","0,01354","165.796,31","4.973,89","33.159,26","84.556,12","1.163.061,05","1.657.963,10"
25,1603,11/12,SUBSOLO,"147,00","113,46","260,46","0,01392","165.898,70","4.976,96","33.179,74","84.608,34","1.163.779,37","1.658.986,99"
