"",,,ENTREGA 30 DE JANEIRO DE 2025,,,,,ÁREAS,,,1,15,3,1,1,REF: SETEMBRO/2023
QTD,UNID,V.G.,LOCALIZAÇÃO COBERTURA,,ÁREA V.G,AP APTO,COMUM,,TOTAL,FRAÇÃO,SINAL,MENSAL,SEMESTRAL,ÚNICA,HABITE-SE,TOTAL
1,011,64,SUBSOLO COBERTA,,"21,60","103,5","66,8980",,"170,3980","0,004926797","90.594,48","2.264,86","26.612,13","60.607,71","640.933,31","905.944,79"
2,012,140,TÉRREO COBERTA,,"21,60","103,55","65,2674",,"168,8174","0,004749446","91.375,87","2.284,40","26.841,66","61.130,46","646.461,40","913.758,71"
3,013,166,TÉRREO DESCOBERTA,,"12,00","77,66","43,9477",,"121,6077","0,003474758","66.130,15","1.653,25","19.425,73","44.241,07","467.854,29","661.301,45"
4,014,169,TÉRREO DESCOBERTA,,"12,00","78,43","44,2417",,"122,6717","0,003506740","67.531,49","1.688,29","19.837,37","45.178,57","477.768,35","675.314,87"
5,015,192,TÉRREO DESCOBERTA,,"21,60","86,11","58,6075",,"144,7175","0,004025088","74.882,63","1.872,07","21.996,77","50.096,48","529.775,80","748.826,27"
6,016,191,TÉRREO DESCOBERTA,,"21,60","86,11","58,6075",,"144,7175","0,004025088","75.620,97","1.890,52","22.213,66","50.590,43","534.999,49","756.209,67"
7,021,51,SUBSOLO COBERTA,,"21,60","103,5","66,8980",,"170,3980","0,004926797","91.042,31","2.276,06","26.743,68","60.907,30","644.101,52","910.423,07"
8,022,26,SUBSOLO COBERTA,,"21,60","103,55","66,9171",,"170,4671","0,004928874","91.823,92","2.295,60","26.973,28","61.430,20","649.631,20","918.239,16"
9,023,171,TÉRREO DESCOBERTA,,"12,00","77,66","43,9477",,"121,6077","0,003474758","66.466,17","1.661,65","19.524,44","44.465,87","470.231,57","664.661,68"
10,024,172,TÉRREO DESCOBERTA,,"12,00","78,43","44,2417",,"122,6717","0,003506740","67.870,84","1.696,77","19.937,06","45.405,59","480.169,26","678.708,42"
11,025,193,TÉRREO DESCOBERTA,,"21,60","86,11","58,6075",,"144,7175","0,004025088","75.255,21","1.881,38","22.106,22","50.345,74","532.411,80","752.552,11"
12,033,163,TÉRREO DESCOBERTA,,"12,00","77,66","43,9477",,"121,6077","0,003474758","66.803,88","1.670,10","19.623,64","44.691,79","472.620,70","668.038,79"
13,034,164,TÉRREO DESCOBERTA,,"12,00","78,43","44,2417",,"122,6717","0,003506740","68.211,90","1.705,30","20.037,25","45.633,76","482.582,10","682.119,01"
14,043,165,TÉRREO DESCOBERTA,,"12,00","77,66","43,9477",,"121,6077","0,003474758","67.143,29","1.678,58","19.723,34","44.918,86","475.022,00","671.432,87"
