ENTREGA 30 DE NOVEMBRO DE 2024,ÁREAS,1,13,2,1,1,REF: SETEMBRO/2023,,,,,,,,
QTD,UNID,V.G.,LOCALIZAÇÃO,COBERTURA,ÁREA V.G,AP APTO,COMUM,TOTAL,FRAÇÃO,SINAL,MENSAL,SEMESTRAL,ÚNICA,HABITE-SE,TOTAL
1,011,121,SUBSOLO,COBERTA,"21,60","103,5","66,8980","170,3980","0,004926797","91.276,13","2.281,90","26.812,36","65.627,54","672.568,24","912.761,33"
2,012,70,SUBSOLO,COBERTA,"21,60","103,55","66,9171","170,4671","0,004928874","91.319,16","2.282,98","26.825,00","65.658,47","672.885,21","913.191,58"
3,013,228,TÉRREO,DESCOBERTA,"12,00","77,66","43,9477","121,6077","0,003474758","66.826,98","1.670,67","19.630,43","48.048,60","492.414,68","668.269,83"
4,015,249,TÉRREO,DESCOBERTA,"21,60","86,11","58,6075","144,7175","0,004025088","74.836,15","1.870,90","21.983,12","53.807,19","551.430,22","748.361,50"
5,016,248,TÉRREO,DESCOBERTA,"21,60","86,11","58,6075","144,7175","0,004025088","74.836,15","1.870,90","21.983,12","53.807,19","551.430,22","748.361,50"
6,021,120,SUBSOLO,COBERTA,"21,60","103,5","66,8980","170,3980","0,004926797","91.723,68","2.293,09","26.943,83","65.949,33","675.865,99","917.236,83"
7,022,124,SUBSOLO,COBERTA,"21,60","103,55","66,9171","170,4671","0,004928874","91.766,92","2.294,17","26.956,53","65.980,42","676.184,64","917.669,25"
8,023,220,TÉRREO,PARCIALMENTE DESCOBERTA,"10,80","77,66","42,5185","120,1785","0,003449838","67.162,80","1.679,07","19.729,07","48.290,05","494.889,07","671.627,97"
9,024,233,TÉRREO,COBERTA,"10,80","78,43","42,8126","121,2426","0,003481819","67.090,83","1.677,27","19.707,93","48.238,31","494.358,84","670.908,35"
10,026,87,SUBSOLO,COBERTA,"21,60","86,11","60,2572","146,3672","0,004204516","75.946,39","1.898,66","22.309,25","54.605,45","559.610,93","759.463,85"
11,032,72,SUBSOLO,COBERTA,"21,60","103,55","66,9171","170,4671","0,004928874","92.216,94","2.305,42","27.088,73","66.303,98","679.500,57","922.169,41"
12,033,103,SUBSOLO,COBERTA,"10,80","77,66","43,3434","121,0034","0,003539552","67.500,30","1.687,51","19.828,21","48.532,71","497.375,92","675.002,98"
13,034,227,TÉRREO,DESCOBERTA,"12,00","78,43","44,2417","122,6717","0,003506740","67.431,68","1.685,79","19.808,06","48.483,38","496.870,38","674.316,83"
14,036,88,SUBSOLO,COBERTA,"21,60","86,11","60,2572","146,3672","0,004204516","76.320,61","1.908,02","22.419,18","54.874,52","562.368,34","763.206,09"
15,042,122,SUBSOLO,COBERTA,"21,60","103,55","66,9171","170,4671","0,004928874","92.669,22","2.316,73","27.221,58","66.629,17","682.833,15","926.692,19"
16,043,236,TÉRREO,PARCIALMENTE DESCOBERTA,"12,00","77,66","43,9477","121,6077","0,003474758","67.839,50","1.695,99","19.927,85","48.776,60","499.875,29","678.394,96"
17,044,224,TÉRREO,DESCOBERTA,"12,00","78,43","44,2417","122,6717","0,003506740","67.774,24","1.694,36","19.908,68","48.729,68","499.394,47","677.742,43"
18,046,214,TÉRREO,PARCIALMENTE DESCOBERTA,"21,60","86,11","58,6075","144,7175","0,004025088","76.696,71","1.917,42","22.529,66","55.144,94","565.139,71","766.967,14"
19,056,213,TÉRREO,PARCIALMENTE DESCOBERTA,"21,60","86,11","58,6075","144,7175","0,004025088","77.074,71","1.926,87","22.640,70","55.416,72","567.924,95","770.747,09"
20,063,225,TÉRREO,DESCOBERTA,"12,00","77,66","43,9477","121,6077","0,003474758","68.523,01","1.713,08","20.128,64","49.268,05","504.911,75","685.230,13"
21,064,226,TÉRREO,DESCOBERTA,"12,00","78,43","44,2417","122,6717","0,003506740","68.464,54","1.711,61","20.111,46","49.226,00","504.480,99","684.645,38"
22,073,222,TÉRREO,DESCOBERTA,"12,00","77,66","43,9477","121,6077","0,003474758","68.867,35","1.721,68","20.229,78","49.515,62","507.449,13","688.673,50"
23,074,208,TÉRREO,COBERTA,"12,00","78,43","44,2417","122,6717","0,003506740","68.812,29","1.720,31","20.213,61","49.476,04","507.043,30","688.122,88"
24,083,252,TÉRREO,DESCOBERTA,"21,60","77,66","55,3807","133,0407","0,003674123","70.689,18","1.767,23","20.764,95","50.825,52","520.873,22","706.891,81"
25,084,246,TÉRREO,DESCOBERTA,"21,60","78,43","55,6747","134,1047","0,003706104","70.637,55","1.765,94","20.749,78","50.788,40","520.492,78","706.375,51"
26,096,202,TÉRREO,COBERTA,"21,60","86,11","58,6075","144,7175","0,004025088","78.605,78","1.965,14","23.090,45","56.517,55","579.206,73","786.057,78"
27,102,199,TÉRREO,COBERTA,"21,60","103,55","65,2674","168,8174","0,004749446","95.431,02","2.385,78","28.032,86","68.614,90","703.183,38","954.310,16"
28,103,253,TÉRREO,DESCOBERTA,"21,60","77,66","55,3807","133,0407","0,003674123","71.386,54","1.784,66","20.969,80","51.326,92","526.011,77","713.865,41"
