ENTREGA 30 DE MAIO DE 2025,ÁREAS,1,19,4,1,1,REF: SETEMBRO/2023,,,,,,,,,
QTD,UNID,V.G.,LOCALIZAÇÃO,ESCANINHO,LOCALIZAÇÃO,AP APTO,AP ESCANINHO,COMUM,TOTAL,FRAÇÃO,SINAL,MENSAL,SEMESTRAL,ÚNICA,HABITE-SE,TOTAL
1,101,89 - 124 - 125,SUBSOLO,23,SUBSOLO,"225,13","2,8600","174,2500","402,2400","0,008740000","251.728,91","7.551,87","41.787,00","170.168,75","1.784.757,95","2.517.289,14"
2,102,313 - 331 - 332,SOBRESSOLO,114,SOBRESSOLO,"185,41","4,6300","135,6100","325,6500","0,006900000","197.622,17","5.928,67","32.805,28","133.592,59","1.401.141,13","1.976.221,74"
3,201,309 - 310 - 311,SOBRESSOLO,103,SOBRESSOLO,"225,13","3,1300","169,3900","397,6500","0,008400000","253.089,65","7.592,69","42.012,88","171.088,60","1.794.405,59","2.530.896,47"
4,301,75 - 83 - 84,SUBSOLO,24,SUBSOLO,"225,13","2,8600","174,2500","402,2400","0,008740000","254.594,35","7.637,83","42.262,66","172.105,78","1.805.073,98","2.545.943,52"
5,401,76 - 85 - 86,SUBSOLO,25,SUBSOLO,"225,13","2,8600","174,2500","402,2400","0,008740000","256.136,17","7.684,08","42.518,60","173.148,05","1.816.005,51","2.561.361,65"
6,601,91 - 92 - 126,SUBSOLO,27,SUBSOLO,"225,13","2,8600","174,2500","402,2400","0,008740000","258.708,11","7.761,24","42.945,55","174.886,68","1.834.240,55","2.587.081,10"
7,701,90 - 122 - 123,SUBSOLO,28,SUBSOLO,"225,13","2,8600","174,2500","402,2400","0,008740000","247.838,85","7.435,17","41.141,25","167.539,06","1.757.177,39","2.478.388,53"
8,1402,174 - 214,TÉRREO,89,TÉRREO,"185,14","4,1100","135,4900","325,0100","0,006890000","190.198,42","4.184,37","35.186,71","153.680,32","1.331.407,80","2.060.157,68"
9,1702,171 - 189,TÉRREO,76,TÉRREO,"185,41","2,9800","135,2100","323,6000","0,006870000","216.187,96","6.485,64","35.887,20","146.143,06","1.532.772,62","2.161.879,60"
10,1902,184 / 296,TÉRREO / SOBRESSOLO,74,TÉRREO,"185,41","2,8600","135,1900","323,4600","0,006870000","218.745,70","6.562,37","36.311,79","147.872,09","1.550.907,02","2.187.457,00"
11,2102,294 - 319,SOBRESSOLO,111,SOBRESSOLO,"185,41","3,1300","135,2500","323,7900","0,006870000","220.844,85","6.625,35","36.660,24","149.291,12","1.565.789,91","2.208.448,49"
12,2302,293 - 320,SOBRESSOLO,109,SOBRESSOLO,"185,41","3,1300","135,2500","323,7900","0,006870000","223.276,69","6.698,30","37.063,93","150.935,04","1.583.031,71","2.232.766,86"
13,2402,316 - 317,SOBRESSOLO,118,SOBRESSOLO,"185,41","3,9700","135,4500","324,8300","0,006880000","223.330,98","6.699,93","37.072,94","150.971,74","1.583.416,65","2.233.309,80"
