"",,,,ago/23,dez/23,fev/24,ago/26,set/26
"",,ÁREA,PREÇO,Entrada 4x,33,,,
UNIDADE,TIPOLOGIA,,,,,3 anuais,Única,Financiamento
"",,PRIVATIVA,UNIDADE,iguais,mensais,,,
U0201,GARDEN,"127,98","1.016.459,52","25.411,49","4.774,28","18.635,09","40.658,38","660.698,69"
U0204,GARDEN,"130,51","1.036.480,02","25.912,00","4.868,32","19.002,13","41.459,20","673.712,01"
U0305,GARDEN,"128,51","1.020.538,96","25.513,47","4.793,44","18.709,88","40.821,56","663.350,33"
"",,ÁREA,PREÇO,Entrada 4x,33,,,
UNIDADE,TIPOLOGIA,,,,,3 anuais,Única,Financiamento
"",,PRIVATIVA,UNIDADE,iguais,mensais,,,
U0201,GARDEN,"127,98","1.016.459,52","25.411,49","4.774,28","18.635,09","40.658,38","660.698,69"
U0204,GARDEN,"130,51","1.036.480,02","25.912,00","4.868,32","19.002,13","41.459,20","673.712,01"
U0305,GARDEN,"128,51","1.020.538,96","25.513,47","4.793,44","18.709,88","40.821,56","663.350,33"
